"";"units_start";"speedy_dt";"g_gameframe_dt(avg)";"g_gameframe_dt(min)";"g_gameframe_dt(max)";"g_update_dt(avg)";"g_update_dt(min)";"g_update_dt(max)";"w_update_dt(avg)";"w_update_dt(min)";"w_update_dt(max)";"units_end"
"";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd";"caiFight.sdd"
"97.0.1-421-g8453d80 12cai_no_plop   ZKL_default";623;111.8139953613;0.0333357411;0.0079999994;0.110999994;0.0313301976;0.0159999989;0.1469999999;0.0313312447;0.0170000009;0.1430000067;698
"97.0.1-421-g8453d80 12cai_no_plop   ZKL_default";641;125.172996521;0.0333368528;0.0069999998;0.1419999897;0.0366546444;0.0179999992;0.1639999896;0.0366546469;0.0180000011;0.1610000134;699
"97.0.1-421-g8453d80 12cai_no_plop   ZKL_default";614;109.766998291;0.0333368528;0.0060000001;0.2569999993;0.0301523369;0.0159999989;0.2549999952;0.0301513335;0.0160000008;0.2569999993;681
"97.0.1-421-g8453d80 12cai_no_plop   ZKL_default";668;119.1579971314;0.0333357411;0.0079999994;0.2049999982;0.0395547482;0.0179999992;0.2859999835;0.0395560701;0.0180000011;0.2860000134;729
"97.0.1-421-g8453d80 12cai_no_plop   ZKL_default";604;109.2200012207;0.033340188;0.0069999998;0.1809999943;0.0314669455;0.0159999989;0.248999998;0.0314669477;0.0170000009;0.2470000088;658
"91.0 12cai_no_plop   ZKL_default";613;73.0370025635;0.0333362993;0.0060000001;0.0690000057;0.0224670421;0.0150000006;0.0860000029;0.0224670421;0.0140000004;0.0860000029;679
"91.0 12cai_no_plop   ZKL_default";;;0.0333346317;0.0060000001;0.0890000015;0.0246407736;0.0140000004;0.0980000049;;;;
"91.0 12cai_no_plop   ZKL_default";;;0.0085608675;0.0040000002;0.0470000021;0.1018410638;0.0900000036;0.1220000088;;;;
"91.0 12cai_no_plop   ZKL_default";712;1.4660000801;0.0626320197;0.0050000004;58.0880012512;0.0213093942;0.0150000006;1.3930000067;;;;712
"91.0 12cai_no_plop   ZKL_default";628;72.9250030518;0.0333340758;0.0070000002;0.0600000024;0.0248281582;0.0160000008;0.0900000036;0.0248281582;0.0160000008;0.0900000036;689
